report_id,site,narrative
OIL-2026-00001,Offshore Platform Alpha,Contractor found entering restricted Working at Height area without a valid permit. Escorted out and work stopped.
OIL-2026-00002,Offshore Platform Alpha,"Hydraulic hose burst during PPE observations, spraying fluid across teh deck. Operator ws wearing face shield, no injury."
OIL-2026-00003,Drilling Rig Delta,Found some fluid on the deck near Housekeeping. Not sure if water or oil. The supervisor was not present.
OIL-2026-00004,Offshore Platform Alpha,Worker bypassed machine guard during Excavation to clear a jam. Equipment was still energized. Intervened and applied LOTO.
OIL-2026-00005,Refinery Unit B,"Vehicle struck a pedestrian crossing the yard during Dropped Objects. Severe trauma sustained, medevac initiated."
OIL-2026-00006,Terminal Operations,"Catastrophic failure of lifting gear during Gas Releases. 5-ton load dropped 10 meters, striking the deck less than 2 meters from the rigging crew. The contractor was late to the shift."
OIL-2026-00007,Pipeline Sector 4,Worker bypassed machine guard during Energy Isolation / LOTO to clear a jam. Equipment was still energized. Intervened and applied LOTO.
OIL-2026-00008,Terminal Operations,Contractor dropped something during Hydrocarbon Leaks. Didn't see what it was.
OIL-2026-00009,Offshore Platform Alpha,"While performing Confined Space, a heavy wrench slipped and struck the scaffolding tube near the worker's head. Near miss."
OIL-2026-00010,Terminal Operations,Arc flash occurred during Hot Work in the main switchgear room. Technician suffered severe electrical burns to face and hands.
OIL-2026-00011,Drilling Rig Delta,"Loud bang heard near Fire unit, but no damage found and no one saw anything."
OIL-2026-00012,Pipeline Sector 4,"During Routine inspections, LEL alarms triggered at 10%. Work stopped and area ventilated."
OIL-2026-00013,Offshore Platform Alpha,Walkway obstructed by empty pallets near PPE observations area. Removed by housekeeping.
OIL-2026-00014,Refinery Unit B,Contractor dropped something during Energy Isolation / LOTO. Didn't see what it was.
OIL-2026-00015,Pipeline Sector 4,"Vehicle struck a pedestrian crossing the yard during Minor maintenance issues. Severe trauma sustained, medevac initiated."
OIL-2026-00016,Maintenance Yard,Worker fell 5 meters during Electrical Hazards because harness lanyard snapped. Rushed to medical bay with suspected fractures.
OIL-2026-00017,Refinery Unit B,Small localized smoldering fire observed during Minor maintenance issues hot work. Extinguished immediately with local fire watch.
OIL-2026-00018,Offshore Platform Alpha,Trench collapsed during Lifting Operations excavation. Worker was partially buried up to the waist. Rescue team deployed.
OIL-2026-00019,Pipeline Sector 4,Contractor dropped something during Dropped Objects. Didn't see what it was.
OIL-2026-00020,Offshore Platform Alpha,Contractor reminded to use three points of contact on stairs near Electrical Hazards unit.
OIL-2026-00021,Terminal Operations,Contractor found entering restricted Hot Work area without a valid permit. Escorted out and work stopped.
OIL-2026-00022,Terminal Operations,"During routine Electrical Hazards inspection, noticed minor debris which was cleared immediately."
OIL-2026-00023,Terminal Operations,Trench collapsed during Dropped Objects excavation. Worker was partially buried up to the waist. Rescue team deployed.
OIL-2026-00024,Maintenance Yard,Trench collapsed during Housekeeping excavation. Worker was partially buried up to the waist. Rescue team deployed. We had a safety meeting about this just yesterday.
OIL-2026-00025,Offshore Platform Alpha,"Catastrophic failure of lifting gear during Housekeeping. 5-ton load dropped 10 meters, striking the deck less than 2 meters from the rigging crew."
OIL-2026-00026,Pipeline Sector 4,Worker fell 5 meters during Hydrocarbon Leaks because harness lanyard snapped. Rushed to medical bay with suspected fractures. The contractor ws late to teh shift.
OIL-2026-00027,Refinery Unit B,Worker fell 5 meters during PPE observations because harness lanyard snapped. Rushed to medical bay with suspected fractures. I didn't have my glasses on but I saw it happen.
OIL-2026-00028,Drilling Rig Delta,Fire extinguisher tag missing in the Routine inspections zone. Replaced by safety officer.
